slot,safety,security,resource_available,customer_satisfaction,mission_completion,Observations
1,0.5,1.0,1.0,1.0,0.0,o13:o12:o1:o10
2,0.5,1.0,1.0,1.0,0.0,o13:o12:o1:o10
3,0.5,1.0,1.0,1.0,0.0,o13:o12:o1:o10
4,0.5,1.0,1.0,1.0,0.0,o13:o12:o1:o10
5,0.5,1.0,1.0,1.0,0.0,o13:o12:o1:o10
6,0.5,1.0,1.0,1.0,0.0,o13:o12:o1:o10
7,0.5,1.0,1.0,1.0,0.0,o13:o12:o1:o10
8,0.5,1.0,1.0,1.0,0.0,o13:o12:o1:o10
9,0.3333333333333333,1.0,1.0,1.0,0.0,o13:o12:o1:o2:o6:o10
10,0.200153818033272,1.0,1.0,1.0,0.0,o13:o12:o2:o6
11,0.11139604437273411,1.0,1.0,1.0,0.0,o13:o12:o2:o6
12,0.059143253861429095,1.0,1.0,1.0,0.0,o13:o12:o2:o6
13,0.03058626570770727,1.0,1.0,1.0,0.0,o13:o12:o2:o6
14,0.015604052876818406,1.0,1.0,1.0,0.0,o13:o12:o2:o6
15,0.007908311780336,1.0,1.0,1.0,0.0,o13:o12:o2:o3:o6:o11
16,0.00399641568652453,1.0,1.0,1.0,0.0,o13:o12:o2:o3:o5:o6:o11
17,0.002017544809245294,1.0,1.0,1.0,0.0,o12:o2:o3:o5:o6:o11
18,0.0010184983908637123,1.0,1.0,1.0,0.0,o12:o2:o3:o5:o6:o11
19,5.143911599767942E-4,1.0,1.0,1.0,0.0,o12:o2:o3:o5:o6:o11
20,2.599733669388828E-4,1.0,1.0,1.0,0.0,o12:o2:o3:o5:o6:o11
21,1.314981419042612E-4,1.0,1.0,1.0,0.0,o12:o2:o3:o5:o6:o11
22,6.657209695479979E-5,1.0,1.0,1.0,0.0,o12:o2:o3:o5:o6:o11
23,3.373337078321659E-5,1.0,1.0,1.0,0.0,o12:o2:o3:o5:o6:o11
